iter	RMSE
0	77216.87675
1	75296.62168
2	73234.74184
3	71242.40452
4	69397.2764
5	67566.56071
6	65792.05483
7	64081.19949
8	62490.76732
9	61195.87392
10	59696.47979
11	58272.53204
12	57019.26385
13	55677.58804
14	54359.43652
15	53224.40275
16	52071.72241
17	51002.85717
18	49824.20175
19	48828.83729
20	47847.73968
21	46902.58517
22	45940.33302
23	45050.16844
24	44242.76097
25	43451.95536
26	42557.98526
27	41838.68977
28	41120.08488
29	40462.29037
30	39792.31981
31	39068.41813
32	38430.58031
33	37750.42825
34	37166.74073
35	36623.5979
36	36090.83517
37	35561.41341
38	35084.19704
39	34652.1591
40	34199.97784
41	33769.00181
42	33290.68149
43	32856.76716
44	32504.37231
45	32157.38688
46	31731.11569
47	31359.60654
48	31019.44682
49	30656.51294
50	30289.2187
51	29960.54116
52	29587.49922
53	29251.97896
54	28932.10951
55	28649.96962
56	28332.25528
57	28028.67428
58	27769.41618
59	27506.11455
60	27330.09371
61	27089.63371
62	26826.12495
63	26574.54782
64	26398.7313
65	26202.46315
66	26038.31382
67	25824.88967
68	25621.93976
69	25376.43201
70	25203.42715
71	25064.02486
72	24914.23056
73	24771.1034
74	24587.17611
75	24420.05778
76	24256.00075
77	24089.32161
78	23976.53057
79	23841.99533
80	23683.88416
81	23564.22566
82	23457.32248
83	23327.50459
84	23189.05869
85	23057.62847
86	22952.70186
87	22838.67322
88	22712.38473
89	22594.94152
90	22509.27803
91	22437.19574
92	22309.79164
93	22203.63965
94	22142.45488
95	22059.29218
96	21943.49182
97	21878.97386
98	21748.25348
99	21674.82697
100	21604.67763
101	21493.62004
102	21426.09393
103	21356.38662
104	21267.78728
105	21192.3619
106	21137.71312
107	21092.9499
108	21023.32075
109	20928.47061
110	20881.83732
111	20801.03544
112	20718.16253
113	20667.56301
114	20586.7203
115	20522.93471
116	20456.02009
117	20368.57219
118	20294.62996
119	20244.45901
120	20171.64862
121	20107.30754
122	20052.08922
123	19980.9566
124	19919.61104
125	19869.41353
126	19796.6004
127	19710.63011
128	19652.98941
129	19594.18736
130	19528.98555
131	19477.43859
132	19425.2973
133	19361.54869
134	19327.9168
135	19289.59255
136	19234.33243
137	19158.03349
138	19116.07567
139	19075.26842
140	19041.15547
141	18950.14999
142	18922.74381
143	18863.72727
144	18815.29652
145	18752.81207
146	18690.26809
147	18659.89071
148	18646.08868
149	18593.97593
150	18567.20527
151	18543.77967
152	18488.94193
153	18439.75379
154	18399.11185
155	18359.66146
156	18293.39575
157	18233.04302
158	18188.2382
159	18147.06952
160	18084.99044
161	18047.63669
162	18000.29045
163	17955.76097
164	17911.52984
165	17875.67378
166	17812.52738
167	17780.27516
168	17749.32707
169	17703.58557
170	17673.64465
171	17639.96096
172	17601.45752
173	17574.20966
174	17521.59793
175	17488.03866
176	17425.98519
177	17375.5983
178	17343.87742
179	17312.73262
180	17263.38862
181	17231.05391
182	17203.63896
183	17167.92594
184	17152.55925
185	17098.89262
186	17064.01186
187	17039.87926
188	17011.62835
189	16965.09123
190	16921.74981
191	16871.82577
192	16807.93259
193	16771.31731
194	16730.3172
195	16676.4109
196	16645.50794
197	16617.45512
198	16573.18101
199	16541.72497
200	16504.582
201	16468.60776
202	16450.98736
203	16439.98157
204	16412.77574
205	16384.49278
206	16359.63354
207	16337.53351
208	16327.49618
209	16287.04767
210	16238.70989
211	16219.18395
212	16166.47318
213	16159.42592
214	16116.98872
215	16092.62153
216	16055.92352
217	16007.51707
218	15982.88018
219	15964.26126
220	15947.082
221	15911.63115
222	15886.83839
223	15856.2068
224	15845.61413
225	15837.92926
226	15821.68963
227	15812.90668
228	15803.669
229	15796.93851
230	15750.00526
231	15728.27896
232	15710.90121
233	15688.45088
234	15670.86382
235	15630.86599
236	15591.57539
237	15585.04412
238	15548.61346
239	15532.69274
240	15520.23042
241	15492.0355
242	15457.56938
243	15417.09295
244	15375.61525
245	15361.39719
246	15316.28735
247	15295.83604
248	15251.56249
249	15236.4406
250	15186.40414
251	15151.98325
252	15128.96283
253	15092.04641
254	15056.68548
255	15014.4683
256	14977.90019
257	14955.25281
258	14926.57139
259	14905.72026
260	14878.98748
261	14865.07333
262	14829.36774
263	14790.11961
264	14786.55076
265	14751.7208
266	14716.74337
267	14685.53717
268	14660.96275
269	14625.60505
270	14576.09208
271	14534.12428
272	14512.29405
273	14485.55992
274	14442.19922
275	14414.15576
276	14375.8963
277	14346.22261
278	14324.14129
279	14285.22466
280	14250.12044
281	14227.37309
282	14192.75961
283	14169.16996
284	14126.02216
285	14104.63995
286	14075.73903
287	14049.35706
288	14014.75427
289	13983.22646
290	13958.3547
291	13951.32852
292	13917.07032
293	13888.0803
294	13851.62018
295	13828.99845
296	13817.9482
297	13783.62576
298	13751.05056
299	13707.39129
300	13673.45124
301	13640.61551
302	13612.11697
303	13590.3517
304	13570.76311
305	13554.17812
306	13527.38364
307	13500.20145
308	13481.10377
309	13452.10918
310	13425.84935
311	13408.02076
312	13380.78506
313	13357.74783
314	13331.11226
315	13298.64846
316	13285.65596
317	13262.27443
318	13237.62003
319	13212.98484
320	13203.06679
321	13191.57832
322	13179.29533
323	13139.90944
324	13124.16682
325	13109.80181
326	13096.46482
327	13067.5663
328	13039.18977
329	13013.83929
330	12997.6626
331	12977.02763
332	12950.90322
333	12927.75486
334	12901.73601
335	12868.96717
336	12852.60587
337	12826.61394
338	12800.47885
339	12770.96686
340	12738.85762
341	12711.13262
342	12701.63364
343	12696.54399
344	12680.44394
345	12652.86413
346	12630.03278
347	12612.27456
348	12599.6215
349	12586.7553
350	12565.94893
351	12534.12028
352	12511.82026
353	12493.74174
354	12472.00746
355	12447.27451
356	12433.41877
357	12397.51068
358	12371.69237
359	12360.94212
360	12342.22272
361	12327.62611
362	12311.86705
363	12294.78466
364	12281.50882
365	12254.47176
366	12238.4241
367	12215.34343
368	12198.41435
369	12170.41154
370	12155.58924
371	12124.20687
372	12105.78051
373	12073.87985
374	12049.94884
375	12038.99209
376	12026.05665
377	12023.26894
378	11994.68501
379	11979.05011
380	11958.62255
381	11932.11623
382	11917.49563
383	11908.67862
384	11897.27144
385	11878.19744
386	11865.4896
387	11832.09753
388	11812.17067
389	11789.10732
390	11776.0112
391	11766.93551
392	11747.34567
393	11722.52348
394	11701.78886
395	11685.65241
396	11667.58352
397	11653.91791
398	11622.83625
399	11603.70819
400	11578.19654
401	11556.71911
402	11542.96056
403	11524.80164
404	11516.42497
405	11503.98143
406	11479.99746
407	11464.38257
408	11446.99358
409	11421.59806
410	11393.09186
411	11373.32683
412	11357.12313
413	11335.31736
414	11315.72896
415	11287.19489
416	11275.20023
417	11257.79485
418	11247.79123
419	11244.43368
420	11226.17116
421	11211.86464
422	11198.71533
423	11187.55163
424	11169.27454
425	11149.41647
426	11128.85483
427	11103.76219
428	11096.13618
429	11074.79704
430	11063.66448
431	11051.10586
432	11031.25745
433	11014.06293
434	10993.82332
435	10991.23303
436	10970.15638
437	10957.52751
438	10938.46096
439	10912.63326
440	10900.85415
441	10899.42911
442	10888.20014
443	10875.01968
444	10862.57087
445	10839.91427
446	10814.75233
447	10797.74628
448	10783.32936
449	10769.88576
450	10747.88545
451	10735.5844
452	10712.88525
453	10703.77291
454	10681.46333
455	10663.92634
456	10647.08007
457	10631.00702
458	10621.38426
459	10604.90947
460	10591.26142
461	10579.06347
462	10568.29329
463	10555.37198
464	10538.99702
465	10525.91281
466	10524.06244
467	10510.51023
468	10489.10456
469	10471.3604
470	10457.06511
471	10442.23322
472	10426.57127
473	10418.84736
474	10396.67047
475	10373.04142
476	10353.45849
477	10330.59949
478	10314.78083
479	10295.21839
480	10294.06594
481	10274.81815
482	10266.91233
483	10248.77134
484	10231.52471
485	10217.0726
486	10201.65192
487	10183.39001
488	10173.42447
489	10157.0594
490	10155.88601
491	10145.40028
492	10131.22471
493	10118.10532
494	10106.0452
495	10088.09736
496	10075.05694
497	10072.9827
498	10052.87301
499	10050.69701
500	10040.23693
501	10035.4414
502	10034.39034
503	10032.70607
504	10017.65931
505	10007.93403
506	9987.108704
507	9966.710444
508	9950.951706
509	9939.085939
510	9926.768254
511	9914.57724
512	9913.491437
513	9896.220029
514	9878.650957
515	9869.644901
516	9852.813349
517	9851.760814
518	9848.018391
519	9844.537129
520	9838.756214
521	9837.742528
522	9819.776639
523	9810.749378
524	9799.612639
525	9790.450852
526	9771.310697
527	9759.058383
528	9733.573785
529	9728.810165
530	9727.756408
531	9712.898371
532	9701.079973
533	9700.05793
534	9689.031638
535	9677.535658
536	9661.2671
537	9648.422998
538	9647.476412
539	9634.878779
540	9623.634433
541	9611.035763
542	9598.679511
543	9587.785283
544	9567.994634
545	9554.739927
546	9530.996431
547	9517.247478
548	9505.297332
549	9504.418213
550	9488.971868
551	9475.797735
552	9470.600196
553	9463.411884
554	9452.174686
555	9435.640727
556	9418.977232
557	9407.841508
558	9389.926803
559	9376.58381
560	9369.596681
561	9355.658574
562	9340.476062
563	9339.641277
564	9332.073403
565	9319.820718
566	9315.489685
567	9307.618054
568	9303.250725
569	9294.267036
570	9283.916655
571	9270.452806
572	9258.846176
573	9247.351342
574	9236.802571
575	9228.894337
576	9216.090734
577	9214.049644
578	9198.100594
579	9185.888219
580	9166.644456
581	9159.146801
582	9151.492781
583	9141.350367
584	9129.907457
585	9120.681816
586	9114.850202
587	9109.871857
588	9095.978771
589	9084.985961
590	9065.190595
591	9057.45692
592	9047.392305
593	9043.541028
594	9034.95101
595	9025.667843
596	9010.637725
597	9009.85139
598	8995.156552
599	8981.563014
600	8972.388561
601	8965.297795
602	8951.682348
603	8941.801802
604	8928.23589
605	8913.119009
606	8899.572205
607	8885.8863
608	8885.123423
609	8870.554655
610	8861.178393
611	8848.330301
612	8837.530706
613	8828.634835
614	8826.786544
615	8813.53219
616	8804.112227
