iter	Passed	Remaining
0	3	3664
1	6	3166
2	8	2932
3	11	2766
4	13	2763
5	16	2673
6	18	2681
7	21	2636
8	23	2636
9	42	4205
10	50	4529
11	56	4653
12	59	4520
13	62	4430
14	65	4321
15	68	4240
16	72	4174
17	75	4119
18	79	4089
19	84	4148
20	88	4118
21	91	4080
22	95	4054
23	98	4013
24	101	3968
25	104	3910
26	106	3853
27	109	3799
28	112	3755
29	114	3709
30	116	3650
31	118	3599
32	120	3543
33	122	3491
34	124	3441
35	126	3395
36	128	3354
37	130	3315
38	132	3273
39	134	3235
40	136	3197
41	138	3162
42	140	3129
43	142	3102
44	144	3071
45	146	3046
46	148	3015
47	150	2988
48	152	2961
49	154	2932
50	156	2906
51	158	2886
52	160	2866
53	162	2848
54	164	2827
55	166	2805
56	168	2783
57	170	2768
58	172	2752
59	174	2740
60	177	2732
61	180	2724
62	182	2713
63	184	2702
64	187	2691
65	190	2689
66	192	2676
67	194	2665
68	196	2650
69	198	2635
70	200	2620
71	202	2606
72	205	2604
73	207	2599
74	210	2600
75	212	2588
76	215	2580
77	217	2571
78	220	2566
79	222	2561
80	226	2565
81	228	2561
82	237	2628
83	261	2856
84	265	2853
85	268	2853
86	271	2847
87	274	2843
88	277	2837
89	279	2825
90	281	2815
91	284	2806
92	286	2798
93	289	2792
94	292	2785
95	294	2776
96	297	2768
97	301	2775
98	306	2787
99	308	2777
100	310	2766
101	312	2753
102	314	2741
103	317	2732
104	319	2719
105	321	2710
106	323	2698
107	325	2685
108	327	2673
109	329	2663
110	330	2650
111	333	2640
112	335	2630
113	337	2622
114	339	2612
115	341	2600
116	343	2589
117	345	2580
118	347	2570
119	349	2561
120	351	2551
121	353	2543
122	355	2532
123	357	2523
124	358	2512
125	360	2502
126	362	2492
127	364	2484
128	366	2475
129	368	2468
130	370	2459
131	372	2450
132	374	2441
133	376	2432
134	378	2423
135	380	2418
136	382	2411
137	385	2406
138	387	2399
139	389	2394
140	392	2388
141	394	2383
142	397	2381
143	400	2378
144	402	2372
145	404	2364
146	406	2358
147	408	2352
148	410	2345
149	412	2338
150	414	2332
151	417	2329
152	420	2326
153	422	2320
154	424	2314
155	426	2309
156	429	2305
157	431	2299
158	434	2295
159	436	2292
160	439	2288
161	441	2283
162	444	2282
163	447	2280
164	450	2278
165	456	2295
166	470	2347
167	481	2382
168	483	2379
169	486	2375
170	489	2371
171	492	2370
172	498	2381
173	503	2390
174	506	2389
175	509	2385
176	512	2382
177	515	2379
178	517	2375
179	520	2371
180	522	2365
181	525	2360
182	527	2355
183	529	2349
184	532	2343
185	534	2337
186	536	2331
187	538	2326
188	540	2321
189	543	2315
190	545	2309
191	547	2303
192	549	2297
193	551	2290
194	553	2284
195	555	2279
196	557	2273
197	560	2269
198	562	2263
199	564	2257
200	566	2251
201	568	2246
202	571	2242
203	573	2236
204	575	2233
205	578	2228
206	580	2223
207	582	2219
208	585	2214
209	587	2210
210	590	2207
211	592	2203
212	595	2199
213	598	2198
214	601	2195
215	604	2194
216	607	2191
217	610	2189
218	613	2186
219	615	2182
220	618	2181
221	620	2175
222	623	2172
223	625	2167
224	627	2162
225	630	2157
226	631	2151
227	634	2148
228	637	2145
229	639	2142
230	642	2137
231	644	2133
232	646	2128
233	648	2122
234	650	2118
235	652	2113
236	655	2109
237	659	2111
238	662	2111
239	667	2113
240	672	2117
241	676	2119
242	682	2126
243	685	2122
244	687	2119
245	690	2116
246	692	2112
247	703	2133
248	706	2129
249	708	2126
250	711	2123
251	714	2121
252	717	2118
253	720	2115
254	722	2110
255	724	2105
256	726	2100
257	729	2096
258	731	2091
259	733	2087
260	735	2083
261	737	2078
262	739	2073
263	742	2069
264	745	2066
265	747	2063
266	750	2060
267	753	2056
268	755	2051
269	757	2047
270	759	2043
271	762	2041
272	765	2037
273	767	2034
274	769	2029
275	772	2026
276	774	2021
277	777	2019
278	780	2017
279	783	2015
280	786	2012
281	789	2010
282	792	2008
283	795	2006
284	798	2004
285	801	2001
286	804	1998
287	807	1995
288	810	1994
289	814	1994
290	816	1990
291	819	1987
292	822	1985
293	826	1984
294	829	1983
295	832	1980
296	835	1978
297	839	1976
298	843	1976
299	847	1977
300	851	1976
301	873	2017
302	884	2034
303	887	2030
304	890	2028
305	892	2024
306	895	2021
307	898	2018
308	901	2015
309	904	2012
