iter	Passed	Remaining
0	152	152695
1	168	84097
2	171	56840
3	173	43131
4	175	34872
5	177	29355
6	179	25420
7	181	22500
8	183	20237
9	185	18398
10	187	16896
11	189	15636
12	191	14566
13	193	13647
14	195	12851
15	197	12164
16	199	11551
17	201	11006
18	204	10537
19	206	10097
20	208	9698
21	209	9334
22	212	9015
23	214	8716
24	216	8434
25	217	8148
26	219	7916
27	221	7703
28	223	7496
29	225	7301
30	228	7131
31	230	6973
32	232	6815
33	234	6673
34	237	6536
35	239	6404
36	241	6283
37	243	6162
38	246	6063
39	248	5955
40	250	5856
41	252	5767
42	255	5679
43	257	5593
44	259	5509
45	261	5423
46	263	5345
47	265	5268
48	267	5196
49	269	5129
50	272	5064
51	274	5000
52	276	4936
53	278	4875
54	280	4815
55	282	4761
56	284	4710
57	286	4659
58	289	4610
59	291	4559
60	293	4510
61	294	4462
62	296	4415
63	298	4372
64	301	4331
65	303	4293
66	305	4251
67	307	4210
68	308	4164
69	310	4128
70	312	4094
71	315	4063
72	317	4029
73	319	3994
74	321	3960
75	323	3927
76	324	3895
77	326	3864
78	328	3835
79	331	3807
80	333	3779
81	335	3751
82	336	3723
83	338	3695
84	340	3669
85	342	3642
86	344	3619
87	346	3595
88	349	3572
89	351	3549
90	353	3526
91	354	3503
92	356	3480
93	358	3459
94	360	3438
95	362	3417
96	364	3397
97	366	3376
98	368	3355
99	370	3336
100	372	3318
101	374	3295
102	376	3276
103	378	3258
104	380	3240
105	382	3222
106	384	3205
107	385	3187
108	388	3172
109	390	3156
110	392	3140
111	394	3124
112	396	3109
113	397	3093
114	399	3077
115	401	3062
116	403	3047
117	405	3033
118	407	3018
119	409	3003
120	411	2991
121	413	2978
122	415	2964
123	417	2951
124	419	2938
125	421	2923
126	423	2910
127	425	2897
128	427	2885
129	429	2873
130	431	2861
131	433	2849
132	435	2837
133	437	2826
134	439	2814
135	441	2803
136	443	2793
137	445	2784
138	448	2775
139	450	2764
140	451	2753
141	453	2742
142	455	2731
143	457	2720
144	459	2711
145	461	2698
146	463	2689
147	465	2679
148	467	2669
149	469	2659
150	471	2649
151	473	2640
152	475	2631
153	477	2621
154	479	2613
155	481	2605
156	483	2596
157	485	2587
158	487	2578
159	489	2569
160	491	2561
161	493	2554
162	495	2546
163	497	2537
164	499	2529
165	501	2521
166	503	2513
167	505	2505
168	508	2498
169	510	2492
170	512	2483
171	514	2475
172	516	2467
173	518	2459
174	520	2451
175	522	2445
176	524	2438
177	526	2430
178	528	2422
179	530	2415
180	532	2407
181	534	2400
182	535	2392
183	538	2386
184	540	2381
185	542	2374
186	544	2367
187	546	2360
188	548	2354
189	550	2347
190	552	2340
191	554	2334
192	556	2327
193	558	2320
194	560	2313
195	562	2306
196	564	2299
197	566	2292
198	568	2286
199	570	2280
200	572	2274
201	574	2268
202	576	2261
203	578	2255
204	580	2249
205	582	2243
206	583	2237
207	585	2230
208	587	2225
209	589	2218
210	591	2212
211	593	2206
212	595	2200
213	597	2195
214	599	2189
215	601	2183
216	603	2178
217	605	2173
218	607	2167
219	609	2161
220	611	2155
221	613	2151
222	615	2145
223	617	2139
224	619	2134
225	621	2129
226	623	2124
227	625	2118
228	627	2113
229	629	2108
230	632	2104
231	634	2099
232	636	2094
233	638	2089
234	640	2084
235	642	2078
236	644	2074
237	646	2068
238	648	2063
239	649	2058
240	652	2053
241	654	2048
242	655	2043
243	657	2038
244	660	2034
245	662	2030
246	664	2025
247	666	2021
248	668	2016
249	670	2012
250	672	2007
251	674	2002
252	676	1998
253	678	1993
254	680	1988
255	682	1983
256	684	1979
257	686	1974
258	688	1969
259	690	1965
260	692	1960
261	694	1955
262	696	1951
263	698	1946
264	700	1942
265	702	1938
266	704	1933
267	706	1929
268	708	1924
269	710	1920
270	712	1915
271	714	1911
272	716	1907
273	718	1903
274	720	1899
275	722	1894
276	724	1890
277	726	1885
278	728	1881
279	730	1877
280	732	1873
281	734	1870
282	736	1865
283	738	1861
284	740	1856
285	742	1852
286	744	1848
287	746	1844
288	748	1840
289	750	1836
290	752	1832
291	753	1827
292	755	1823
293	757	1819
294	759	1815
295	761	1811
296	763	1807
297	765	1803
298	767	1799
299	769	1795
300	771	1791
301	773	1787
302	775	1783
303	777	1779
304	779	1775
305	781	1772
306	783	1768
307	785	1764
308	787	1760
309	788	1756
310	790	1752
311	792	1748
312	794	1744
313	797	1741
314	799	1737
315	800	1733
316	802	1729
317	804	1726
318	806	1722
319	809	1719
320	811	1715
321	813	1711
322	814	1708
323	816	1704
324	818	1700
325	820	1696
326	822	1693
327	824	1689
328	826	1686
329	829	1683
330	831	1679
331	833	1676
332	835	1672
333	837	1668
334	839	1665
335	840	1661
336	842	1658
337	844	1654
338	847	1651
339	849	1648
340	851	1644
341	852	1641
342	854	1637
343	856	1633
344	858	1630
345	860	1626
346	862	1623
347	864	1619
348	866	1616
349	868	1612
350	870	1609
351	872	1605
352	874	1602
353	876	1599
354	878	1595
355	880	1592
356	882	1588
357	884	1585
358	886	1581
359	887	1578
360	889	1575
361	891	1571
362	893	1568
363	895	1565
364	897	1561
365	899	1558
366	901	1554
367	903	1551
368	905	1548
369	907	1544
370	909	1541
371	911	1538
372	913	1535
373	915	1532
374	917	1528
375	919	1525
376	921	1522
377	922	1518
378	924	1515
379	926	1512
380	928	1509
381	930	1505
382	932	1502
383	934	1499
384	936	1495
385	938	1492
386	940	1489
387	942	1486
388	944	1483
389	946	1480
390	948	1477
391	950	1474
392	952	1470
393	954	1468
394	956	1465
395	959	1462
396	961	1459
397	963	1456
398	965	1453
399	966	1450
400	968	1447
401	970	1444
402	973	1441
403	975	1438
404	977	1435
405	979	1432
406	981	1429
407	983	1426
408	985	1423
409	987	1420
410	989	1418
411	991	1415
412	993	1412
413	995	1408
414	997	1405
415	999	1402
416	1001	1399
417	1003	1397
418	1006	1395
419	1008	1392
420	1010	1389
421	1012	1386
422	1013	1383
423	1015	1379
424	1017	1377
425	1019	1374
426	1021	1371
427	1023	1368
428	1025	1365
429	1027	1362
430	1029	1359
431	1031	1356
432	1033	1353
433	1035	1350
434	1037	1347
435	1039	1345
436	1041	1342
437	1043	1339
438	1045	1336
439	1047	1333
440	1049	1330
441	1051	1327
442	1053	1324
443	1055	1322
444	1057	1319
445	1059	1316
446	1061	1313
447	1063	1310
448	1065	1307
449	1067	1304
450	1070	1302
451	1072	1299
452	1074	1297
453	1076	1294
454	1078	1291
455	1080	1288
456	1082	1285
457	1084	1282
458	1086	1280
459	1087	1277
460	1089	1274
461	1091	1271
462	1093	1268
463	1095	1265
464	1097	1262
465	1099	1259
466	1101	1257
467	1103	1254
468	1105	1251
469	1107	1248
470	1109	1245
471	1111	1243
472	1113	1240
473	1114	1237
474	1116	1234
475	1119	1231
476	1121	1229
477	1122	1226
478	1124	1223
479	1126	1220
480	1128	1217
481	1130	1215
482	1132	1212
483	1134	1209
484	1136	1206
485	1138	1204
486	1140	1201
487	1142	1198
488	1144	1195
489	1146	1192
490	1148	1190
491	1150	1187
492	1152	1184
493	1153	1181
494	1155	1179
495	1157	1176
496	1159	1173
497	1161	1170
498	1163	1168
499	1165	1165
500	1167	1162
501	1169	1160
