,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,1,1,1,2,39.0,1,0.0,0.0,0.0,0.0,0.0,1
1,0,1,5,2,24.0,1,109.0,9.0,25.0,549.0,44.0,0
2,1,1,0,2,58.0,0,43.0,3576.0,0.0,6715.0,49.0,1
3,1,1,0,2,33.0,1,0.0,1283.0,371.0,3329.0,193.0,1
4,0,1,5,2,16.0,1,303.0,70.0,151.0,565.0,2.0,0
5,0,1,5,1,44.0,1,0.0,483.0,0.0,291.0,0.0,0
6,0,1,5,2,26.0,1,42.0,1539.0,3.0,0.0,0.0,0
7,0,0,6,2,28.0,1,0.0,0.0,0.0,0.0,305.0,0
8,0,1,5,2,35.0,1,0.0,785.0,17.0,216.0,0.0,0
9,1,0,1,0,14.0,1,0.0,0.0,0.0,0.0,0.0,0
10,1,0,1,2,34.0,1,0.0,0.0,174.0,0.0,0.0,0
11,1,1,1,0,45.0,1,39.0,7295.0,589.0,110.0,124.0,0
12,2,1,5,2,32.0,1,73.0,0.0,1123.0,0.0,113.0,0
13,0,1,6,2,48.0,1,719.0,1.0,65.0,0.0,24.0,1
14,0,1,5,2,28.0,1,8.0,974.0,12.0,2.0,7.0,0
15,0,1,5,2,31.0,1,32.0,0.0,876.0,0.0,0.0,1
16,2,1,5,0,27.0,1,1286.0,122.0,174.0,0.0,0.0,1
17,0,1,5,0,24.0,1,0.0,1.0,0.0,0.0,637.0,1
18,2,0,5,2,45.0,1,0.0,0.0,0.0,0.0,0.0,0
19,0,1,6,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0
20,0,1,5,0,14.0,1,412.0,0.0,1.0,0.0,679.0,1
21,0,0,4,2,1.0,1,0.0,0.0,0.0,0.0,0.0,1
22,0,0,4,0,49.0,1,0.0,0.0,0.0,0.0,0.0,1
23,0,0,4,0,29.0,1,0.0,0.0,174.0,0.0,0.0,1
24,0,1,4,2,10.0,1,0.0,0.0,0.0,0.0,0.0,0
25,0,0,4,1,1.0,1,225.0,0.0,0.0,0.0,0.0,1
26,0,1,4,2,7.0,1,0.0,0.0,0.0,0.0,0.0,1
27,2,1,3,2,21.0,1,980.0,2.0,69.0,0.0,0.0,1
28,1,0,2,2,62.0,1,0.0,0.0,174.0,0.0,0.0,0
29,0,1,5,2,15.0,1,0.0,225.0,0.0,998.0,0.0,1
30,1,1,2,0,34.0,1,22.0,6073.0,0.0,1438.0,328.0,1
