,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,1,0,3,39.0,0,0.0,0.0,0.0,0.0,0.0,0
1,0,0,3,24.0,0,109.0,9.0,25.0,549.0,44.0,1
2,1,0,3,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0
3,1,0,3,33.0,0,0.0,1283.0,371.0,3329.0,193.0,0
4,0,0,3,16.0,0,303.0,70.0,151.0,565.0,2.0,1
5,0,0,2,44.0,0,0.0,483.0,0.0,291.0,0.0,1
6,0,0,3,26.0,0,42.0,1539.0,3.0,0.0,0.0,1
7,0,1,3,28.0,0,0.0,0.0,0.0,0.0,1.4338157440623946,1
8,0,0,3,35.0,0,0.0,785.0,17.0,216.0,0.0,1
9,1,1,0,14.0,0,0.0,0.0,0.0,0.0,0.0,1
10,1,1,3,34.0,0,0.0,0.0,2.503619992631268,0.0,0.0,1
11,1,0,0,45.0,0,39.0,7295.0,589.0,110.0,124.0,1
12,2,0,3,32.0,0,73.0,0.0,1123.0,0.0,113.0,1
13,0,0,3,48.0,0,719.0,1.0,65.0,0.0,24.0,0
14,0,0,3,28.0,0,8.0,974.0,12.0,2.0,7.0,1
15,0,0,3,31.0,0,32.0,0.0,876.0,0.0,0.0,0
16,2,0,0,27.0,0,1286.0,122.0,410.2833791095019,0.0,0.0,0
17,0,0,0,24.0,0,0.0,1.0,0.0,0.0,637.0,0
18,2,1,3,45.0,0,0.0,0.0,0.0,0.0,0.0,1
19,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,1
20,0,0,0,14.0,0,412.0,0.0,1.0,0.0,679.0,0
21,0,1,3,1.0,0,0.0,0.0,0.0,0.0,0.0,0
22,0,1,0,49.0,0,0.0,0.0,0.0,0.0,0.0,0
23,0,1,0,29.0,0,0.0,0.0,3.810325966715817,0.0,0.0,0
24,0,0,3,10.0,0,0.0,0.0,0.0,0.0,0.0,1
25,0,1,2,1.0,0,-0.30362701871933717,0.0,0.0,0.0,0.0,0
26,0,0,3,7.0,0,0.0,0.0,0.0,0.0,0.0,0
27,2,0,3,21.0,0,980.0,2.0,69.0,0.0,0.0,0
28,1,1,3,62.0,0,0.0,0.0,-0.9957837523277143,0.0,0.0,1
29,0,0,3,15.0,0,0.0,225.0,0.0,998.0,0.0,0
30,1,0,0,34.0,0,22.0,6073.0,0.0,1438.0,328.0,0
31,2,0,3,43.0,0,1125.0,0.0,136.0,48.0,0.0,0
32,0,0,3,32.0,0,0.0,850.0,81.0,437.0,453.0,0
33,2,0,3,47.0,0,214.0,0.0,1411.0,0.0,1229.0,1
34,2,0,3,2.0,0,0.0,0.0,0.0,0.0,0.0,1
35,2,0,3,20.0,0,1048.680882496644,0.0,1750.0,990.0,0.0,1
36,1,1,0,28.0,0,0.0,0.0,0.0,0.0,0.0,1
37,2,0,0,23.0,0,784.0,964.0,0.0,951.0,0.0,0
38,0,0,0,15.0,0,0.0,492.0,48.0,20.0,401.0,0
39,0,0,0,20.0,0,554.0,195.0,0.0,2606.0,0.0,0
40,0,1,0,30.0,0,0.0,0.0,-4.332275545909077,0.0,0.0,0
41,0,1,3,17.0,0,0.0,0.0,0.0,0.0,0.0,1
42,1,0,3,45.0,0,0.0,164.0,45.0,2511.0,855.0,0
43,0,1,3,55.0,0,0.0,0.0,0.0,0.0,0.0,0
44,0,1,0,4.0,0,0.0,0.0,0.0,0.0,0.0,1
45,0,1,2,21.0,0,0.0,0.0,0.0,0.0,0.0,1
46,2,0,3,21.0,0,970.0,0.0,180.0,0.0,64.0,0
47,2,1,1,19.0,0,0.0,0.0,0.0,0.0,0.0,1
48,0,0,0,35.0,0,790.0,0.0,0.0,-67.41269282397361,0.0,0
49,0,0,3,56.0,0,0.0,112.0,0.0,1379.0,127.0,0
50,0,0,3,19.862734834577953,0,4.0,0.0,2.0,4683.0,0.0,0
51,0,0,3,25.0,0,0.0,0.0,1938.0,0.0,1.0,1
52,1,0,3,2.0,0,0.0,0.0,0.0,0.0,0.0,1
53,1,1,3,38.0,0,0.0,0.0,0.0,0.0,0.0,1
54,1,0,3,27.0,0,279.0,605.0,3374.0,286.0,3.0,1
55,0,1,2,36.0,0,0.0,0.0,0.0,0.0,0.0,0
56,0,0,3,22.0,0,45.0,1096.0,148.0,1377.0,1.0,0
57,0,0,3,62.0,0,0.0,592.0,0.0,17.0,25.0,0
58,2,1,3,15.0,0,0.0,0.0,0.0,0.0,0.0,1
59,3,1,3,33.0,0,0.0,0.0,-3.7077127314927423,0.0,0.0,1
60,0,0,3,62.0,0,1.0,153.0,197.0,0.0,460.0,0
61,0,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1
62,0,0,3,18.0,0,1.0,258.0,446.0,0.0,0.0,1
63,0,0,0,21.0,0,1946.0,37.0,0.0,0.0,24.0,0
64,2,0,3,25.728992281548262,0,793.0,0.0,2.0,253.0,0.0,0
65,0,0,3,42.0,0,887.0,0.0,9.0,6.0,0.0,1
66,0,0,3,19.0,0,190.0,0.0,5.0,1.0,726.0,0
67,0,0,3,17.0,0,16.0,2165.0,0.0,0.0,52.0,0
68,0,0,3,14.0,0,0.0,1.0,0.0,0.0,1063.0,0
69,2,0,2,37.0,0,46.0,83.0,738.0,0.0,12.0,0
70,1,0,3,42.0,0,1.0,8397.0,0.0,0.0,506.0,1
71,2,0,3,27.0,0,147.0,0.0,1018.0,0.0,0.0,1
72,2,0,3,28.0,0,14.0,0.0,1295.0,0.0,0.0,1
73,1,0,3,38.0,0,0.0,5840.0,0.0,321.0,9654.0,0
74,0,1,3,13.0,0,0.0,0.0,0.0,0.0,0.0,0
75,2,0,3,42.0,0,7406.0,0.0,0.0,0.0,0.0,0
76,2,1,3,2.0,0,0.0,0.0,0.0,0.0,0.0,1
77,2,0,3,8.0,0,0.0,0.0,0.0,0.0,0.0,1
78,0,0,3,24.0,0,688.0,0.0,0.0,0.0,17.0,1
79,1,1,3,40.0,0,0.0,0.0,0.0,0.0,0.0,1
80,0,0,3,43.0,0,211.0,0.0,0.0,638.0,513.0,0
81,2,1,2,45.0,0,0.0,0.0,0.0,0.0,0.0,1
82,0,1,3,35.0,0,0.0,0.0,0.0,0.0,0.0,1
83,0,1,3,26.0,0,-1.0571851058174597,0.0,0.0,0.0,0.0,1
84,0,0,3,27.0,0,1.0,697.0,31.0,188.0,0.0,0
85,0,0,3,19.0,0,0.0,0.0,670.0,1.0,34.0,0
86,0,1,3,0.0,0,0.0,0.0,-0.021042983490174555,0.0,0.0,1
87,0,1,3,3.0,0,0.0,0.0,0.0,0.0,0.0,1
88,1,0,3,54.0,0,0.0,1208.0,0.0,3.0,637.0,0
89,0,0,3,26.0,0,0.0,856.0,5.0,32.0,0.0,0
90,0,0,3,26.0,0,0.0,2811.0,957.0,0.0,87.0,1
91,0,0,2,23.0,0,311.0,427.0,526.0,37.0,0.0,0
92,0,0,3,2.0,0,0.0,0.0,0.0,0.0,0.0,1
93,2,1,3,31.0,0,0.0,0.0,0.0,0.0,0.0,1
94,0,0,3,18.0,0,0.0,0.0,0.0,830.0,91.0,0
95,0,0,3,24.0,0,0.0,2066.1259241060893,0.0,0.0,17.0,1
96,0,1,0,9.0,0,0.0,0.0,0.0,0.0,0.0,1
97,0,1,3,6.0,0,0.0,0.0,0.0,0.0,0.0,0
98,0,0,3,27.0,0,0.0,0.0,570.0,2.0,131.0,0
99,2,0,3,21.0,0,1743.0,5.0,17.0,0.0,0.0,0
100,0,1,3,23.0,0,0.0,0.0,0.0,0.0,0.0,0
101,0,0,3,31.0,0,562.0,0.0,326.0,0.0,0.0,0
102,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,1
103,1,0,3,32.0,0,0.0,410.0,6.0,3929.0,764.0,0
104,1,0,3,40.0,0,0.0,331.0,0.0,0.0,1687.0,0
105,1,0,3,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,1
106,1,1,3,28.0,0,0.0,0.0,0.0,0.0,0.0,1
107,1,1,3,29.0,0,0.0,0.0,0.0,0.0,0.0,1
108,1,0,0,48.0,1,0.0,2537.0,87.0,17.0,13.0,1
109,0,0,3,64.0,0,0.0,0.0,804.0,0.0,0.0,1
110,0,0,3,27.0,0,82.0,157.0,429.0,238.0,1.0,0
