,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Relatives,Alone,Title
0,0,3,1,22.0,1,0,7.25,2,1,1.0,2
1,1,1,0,38.0,1,0,71.2833,0,1,1.0,3
2,1,3,0,26.0,0,0,7.925,2,0,0.0,1
3,1,1,0,35.0,1,0,53.1,2,1,1.0,3
4,0,3,1,35.0,0,0,8.05,2,0,0.0,2
5,0,3,1,16.451940723288665,0,0,8.4583,1,0,0.0,2
6,0,1,1,54.0,0,0,51.8625,2,0,0.0,2
7,0,3,1,2.0,3,1,21.075,2,4,1.0,0
8,1,3,0,27.0,0,2,11.1333,2,2,1.0,3
9,1,2,0,14.0,1,0,30.0708,0,1,1.0,3
10,1,3,0,4.0,1,1,16.7,2,2,1.0,1
11,1,1,0,58.0,0,0,26.55,2,0,0.0,1
12,0,3,1,20.0,0,0,8.05,2,0,0.0,2
13,0,3,1,39.0,1,5,31.275,2,6,1.0,2
14,0,3,0,14.0,0,0,7.8542,2,0,0.0,1
15,1,2,0,55.0,0,0,16.0,2,0,0.0,3
16,0,3,1,2.0,4,1,29.125,1,5,1.0,0
17,1,2,1,31.777751791431715,0,0,13.0,2,0,0.0,2
18,0,3,0,31.0,1,0,18.0,2,1,1.0,3
19,1,3,0,15.06004855630227,0,0,7.225,0,0,0.0,3
20,0,2,1,35.0,0,0,26.0,2,0,0.0,2
21,1,2,1,34.0,0,0,13.0,2,0,0.0,2
22,1,3,0,15.0,0,0,8.0292,1,0,0.0,1
23,1,1,1,28.0,0,0,35.5,2,0,0.0,2
24,0,3,0,8.0,3,1,21.075,2,4,1.0,1
25,1,3,0,38.0,1,5,31.3875,2,6,1.0,3
26,0,3,1,32.39247638874712,0,0,7.225,0,0,0.0,2
27,0,1,1,19.0,3,2,263.0,2,5,1.0,2
28,1,3,0,18.991491555867693,0,0,7.8792,1,0,0.0,1
29,0,3,1,27.210377476814877,0,0,7.8958,2,0,0.0,2
30,0,1,1,40.0,0,0,27.7208,0,0,0.0,4
31,1,1,0,35.036741142284555,1,0,146.5208,0,1,1.0,3
32,1,3,0,22.283268804673984,0,0,7.75,1,0,0.0,1
33,0,2,1,66.0,0,0,10.5,2,0,0.0,2
34,0,1,1,28.0,1,0,82.1708,0,1,1.0,2
35,0,1,1,42.0,1,0,52.0,2,1,1.0,2
36,1,3,1,24.60836452059819,0,0,7.2292,0,0,0.0,2
37,0,3,1,21.0,0,0,8.05,2,0,0.0,2
38,0,3,0,18.0,2,0,18.0,2,2,1.0,1
39,1,3,0,14.0,1,0,11.2417,0,1,1.0,1
40,0,3,0,40.0,1,0,9.475,2,1,1.0,3
41,0,2,0,27.0,1,0,21.0,2,1,1.0,3
42,0,3,1,32.335459655519706,0,0,7.8958,0,0,0.0,2
43,1,2,0,3.0,1,2,41.5792,0,3,1.0,1
44,1,3,0,19.0,0,0,7.8792,1,0,0.0,1
45,0,3,1,30.65516736544374,0,0,8.05,2,0,0.0,2
46,0,3,1,43.12656573415905,1,0,15.5,1,1,1.0,2
47,1,3,0,22.283268804673984,0,0,7.75,1,0,0.0,1
48,0,3,1,16.28239742643262,2,0,21.6792,0,2,1.0,2
49,0,3,0,18.0,1,0,17.8,2,1,1.0,3
50,0,3,1,7.0,4,1,39.6875,2,5,1.0,0
51,0,3,1,21.0,0,0,7.8,2,0,0.0,2
52,1,1,0,49.0,1,0,76.7292,0,1,1.0,3
53,1,2,0,29.0,1,0,26.0,2,1,1.0,3
54,0,1,1,65.0,0,1,61.9792,0,1,1.0,2
55,1,1,1,36.49572261662319,0,0,35.5,2,0,0.0,2
56,1,2,0,21.0,0,0,10.5,2,0,0.0,1
57,0,3,1,28.5,0,0,7.2292,0,0,0.0,2
