iter	RMSE
0	6.001825728
1	5.172242654
2	4.777475503
3	4.635848331
4	4.539539036
5	4.497211052
6	4.429239195
7	4.389200519
8	4.360536546
9	4.337020739
10	4.322221606
11	4.30747947
12	4.29475431
13	4.283972353
14	4.273477019
15	4.263332994
16	4.254153112
17	4.245687493
18	4.240127226
19	4.233862
20	4.228640794
21	4.225369782
22	4.221257691
23	4.217690954
24	4.209384748
25	4.203133848
26	4.196655051
27	4.192362304
28	4.190099724
29	4.186107757
30	4.182953909
31	4.18055212
32	4.17796341
33	4.175666706
34	4.173927408
35	4.169570598
36	4.165396663
37	4.163347179
38	4.16105239
39	4.158882849
40	4.156821097
41	4.153171097
42	4.15099256
43	4.148984235
44	4.147316194
45	4.146561622
46	4.145687076
47	4.144526773
48	4.143022805
49	4.140587871
50	4.136453193
51	4.135093975
52	4.134354978
53	4.132794289
54	4.130965463
55	4.127074192
56	4.124015007
57	4.122219083
58	4.120042825
59	4.118815161
60	4.116722363
61	4.115534677
62	4.114619501
63	4.112477093
64	4.110674361
65	4.108580147
66	4.106384806
67	4.104623632
68	4.104169241
69	4.102694638
70	4.101105041
71	4.099060046
72	4.098023842
73	4.097009208
74	4.096468305
75	4.095087175
76	4.094293378
77	4.093289396
78	4.092687985
79	4.092251647
80	4.090982448
81	4.090179874
82	4.089589492
83	4.088342013
84	4.087784998
85	4.08398381
86	4.083257694
87	4.08235039
88	4.08111057
89	4.079773215
90	4.078833368
91	4.076755385
92	4.076200502
93	4.075713272
94	4.073346659
95	4.071550705
96	4.068383895
97	4.067868925
98	4.067443767
99	4.065358517
100	4.064353598
101	4.063962728
102	4.063535296
103	4.06321053
104	4.062852325
105	4.062643786
106	4.062246651
107	4.061595036
108	4.061124937
109	4.059842066
110	4.059027738
111	4.058263737
112	4.056854394
113	4.056210894
114	4.055983545
115	4.054570558
116	4.054342622
117	4.053340745
118	4.052596391
119	4.052225326
120	4.051966504
121	4.051620168
122	4.05048682
123	4.050111488
124	4.049656982
125	4.049122333
126	4.048855862
127	4.047828566
128	4.04714297
129	4.04640858
130	4.045879799
131	4.044976905
132	4.044357064
133	4.043588368
134	4.042979624
135	4.042022737
136	4.041307272
137	4.040838137
138	4.038410936
139	4.03769195
140	4.03588298
141	4.035280552
142	4.032043525
143	4.030233984
144	4.029880242
145	4.029192233
146	4.028947416
147	4.027793456
148	4.027558296
149	4.026774403
