iter	Passed	Remaining
0	341	50936
1	548	40613
2	750	36770
3	949	34651
4	1161	33680
5	1351	32424
6	1551	31693
7	1750	31076
8	1952	30596
9	2166	30325
10	2365	29896
11	2548	29309
12	2759	29078
13	2934	28510
14	3144	28296
15	3332	27911
16	3519	27535
17	3714	27236
18	3910	26962
19	4079	26515
20	4267	26215
21	4470	26007
22	4664	25758
23	4876	25601
24	5076	25380
25	5262	25096
26	5434	24758
27	5645	24598
28	5842	24376
29	6016	24066
30	6201	23806
31	6422	23682
32	6605	23417
33	6805	23218
34	7015	23051
35	7209	22829
36	7387	22561
37	7566	22301
38	7746	22047
39	7926	21797
40	8116	21578
41	8310	21370
42	8490	21126
43	8687	20929
44	8891	20747
45	9083	20537
46	9283	20344
47	9455	20093
48	9628	19845
49	9822	19645
50	10021	19452
51	10237	19293
52	10450	19126
53	10633	18903
54	10826	18700
55	11034	18521
56	11234	18329
57	11433	18135
58	11628	17936
59	11807	17711
60	12000	17509
61	12239	17371
62	12438	17177
63	12653	17002
64	12843	16795
65	13078	16644
66	13303	16480
67	13509	16291
68	13719	16104
69	13922	15911
70	14141	15734
71	14326	15520
72	14517	15312
73	14710	15108
74	14906	14906
75	15134	14736
76	15357	14559
77	15571	14373
78	15782	14183
79	15964	13968
80	16168	13772
81	16380	13583
82	16553	13362
83	16743	13155
84	16916	12935
85	17096	12723
86	17274	12508
87	17473	12310
88	17662	12106
89	17852	11901
90	18035	11693
91	18231	11493
92	18444	11304
93	18684	11131
94	18899	10941
95	19132	10762
96	19337	10565
97	19547	10372
98	19780	10190
99	20016	10008
100	20237	9818
101	20476	9636
102	20719	9454
103	20958	9269
104	21206	9088
105	21428	8894
106	21634	8694
107	21844	8494
108	22057	8296
109	22269	8098
110	22489	7901
111	22718	7708
112	22945	7513
113	23143	7308
114	23343	7104
115	23521	6894
116	23745	6697
117	23957	6497
118	24173	6297
119	24428	6107
120	24671	5912
121	24911	5717
122	25153	5521
123	25352	5315
124	25558	5111
125	25740	4903
126	25949	4699
127	26138	4492
128	26351	4289
129	26532	4081
130	26748	3879
131	26940	3673
132	27153	3470
133	27372	3268
134	27603	3067
135	27825	2864
136	28041	2660
137	28244	2456
138	28430	2249
139	28628	2044
140	28810	1838
141	28992	1633
142	29181	1428
143	29364	1223
144	29557	1019
145	29750	815
146	29956	611
147	30154	407
148	30353	203
149	30531	0
